showrange,movienm,moviecd,audicnt,showcnt,salesacc,audiacc
20180801~20180801,신과함께-인과 연,20186202,1246603,9825,9874188100,1268352
20180801~20180801,미션 임파서블: 폴아웃,20181181,258561,3827,36906473254,4394473
20180801~20180801,극장판 헬로카봇 : 백악기 시대,20186501,162242,1740,1192090500,166724
20180801~20180801,인크레더블 2,20183361,76950,1284,21327771058,2616266
20180801~20180801,신비아파트: 금빛 도깨비와 비밀의 동굴,20185242,39482,752,3571395300,484967
20180801~20180801,어느 가족,20186121,6192,175,513721500,61909
20180801~20180801,인랑,20170942,6072,393,6759590106,869157
20180801~20180801,노인을 위한 나라는 없다,20080071,1819,17,479122400,69081
20180801~20180801,앤트맨과 와스프,20180522,1475,44,47397390085,5439554
20180801~20180801,아이 엠 러브,20110027,705,33,336951661,42806
20180802~20180802,신과함께-인과 연,20186202,1078012,10079,18332974550,2346364
20180802~20180802,미션 임파서블: 폴아웃,20181181,249826,3600,38936347554,4644299
20180802~20180802,극장판 헬로카봇 : 백악기 시대,20186501,127108,1825,2092884000,293832
20180802~20180802,인크레더블 2,20183361,74011,1256,21867007258,2690277
20180802~20180802,신비아파트: 금빛 도깨비와 비밀의 동굴,20185242,37195,734,3830241400,522162
20180802~20180802,어느 가족,20186121,6239,167,562686900,68148
20180802~20180802,인랑,20170942,4966,332,6797927706,874123
20180802~20180802,공작,20179101,4348,8,73014000,7970
20180802~20180802,너의 결혼식,20153446,2819,13,33830000,3759
20180802~20180802,맘마미아!2,20181942,2584,11,102631000,11776
20180803~20180803,신과함께-인과 연,20186202,1078478,10543,27717706049,3424842
20180803~20180803,미션 임파서블: 폴아웃,20181181,258508,3408,41263781107,4902807
20180803~20180803,극장판 헬로카봇 : 백악기 시대,20186501,103199,1837,2902844600,397031
20180803~20180803,인크레더블 2,20183361,69504,1235,22426603532,2759781
20180803~20180803,신비아파트: 금빛 도깨비와 비밀의 동굴,20185242,31721,690,4072620400,553883
20180803~20180803,어느 가족,20186121,6924,178,623713500,75072
20180803~20180803,인랑,20170942,4267,288,6832727079,878390
20180803~20180803,앤트맨과 와스프,20180522,1513,40,47421419785,5442469
20180803~20180803,더 스퀘어,20179044,1328,50,31577900,3664
20180803~20180803,아이 엠 러브,20110027,939,37,351808561,44753
20180804~20180804,신과함께-인과 연,20186202,1466225,11159,40497511337,4891067
20180804~20180804,미션 임파서블: 폴아웃,20181181,312699,3108,44054173357,5215506
20180804~20180804,극장판 헬로카봇 : 백악기 시대,20186501,117326,1771,3829098300,514357
20180804~20180804,인크레더블 2,20183361,66556,1015,22962436888,2826337
20180804~20180804,신비아파트: 금빛 도깨비와 비밀의 동굴,20185242,34386,655,4338283600,588269
20180804~20180804,맘마미아!2,20181942,32146,419,391807900,43922
20180804~20180804,어느 가족,20186121,9143,167,706105700,84215
20180804~20180804,인랑,20170942,6217,198,6889168573,884607
20180804~20180804,더 스퀘어,20179044,1525,42,44469800,5189
20180804~20180804,앤트맨과 와스프,20180522,1350,36,47433152485,5443819
