moviecd,movienm,genrenm
19880001,이웃집 토토로,애니메이션
19880001,이웃집 토토로,드라마
19990220,노팅 힐,멜로/로맨스
19990220,노팅 힐,코미디
20010291,해리포터와 마법사의 돌,가족
20010291,해리포터와 마법사의 돌,판타지
20020222,해리포터와 비밀의 방,드라마
20060347,판의 미로 - 오필리아와 세 개의 열쇠,드라마
20060347,판의 미로 - 오필리아와 세 개의 열쇠,판타지
20060347,판의 미로 - 오필리아와 세 개의 열쇠,전쟁
20070602,마녀배달부 키키,애니메이션
20070602,마녀배달부 키키,드라마
20070602,마녀배달부 키키,가족
20070602,마녀배달부 키키,판타지
20080071,노인을 위한 나라는 없다,스릴러
20080071,노인을 위한 나라는 없다,드라마
20080071,노인을 위한 나라는 없다,범죄
20110027,아이 엠 러브,드라마
20110027,아이 엠 러브,멜로/로맨스
20139221,그래비티,SF
20139221,그래비티,드라마
20147727,그랜드 부다페스트 호텔,미스터리
20147727,그랜드 부다페스트 호텔,어드벤처
20153446,너의 결혼식,멜로/로맨스
20156554,물괴,액션
20156554,물괴,사극
20162003,명탐정 코난:전율의 악보,애니메이션
20162003,명탐정 코난:전율의 악보,미스터리
20166301,썬키스 패밀리,가족
20166301,썬키스 패밀리,멜로/로맨스
20166301,썬키스 패밀리,코미디
20166602,그대 이름은 장미,코미디
20167903,원더풀 고스트,코미디
20167903,원더풀 고스트,드라마
20167903,원더풀 고스트,범죄
20168773,마약왕,범죄
20168773,마약왕,드라마
20169323,안도 타다오,다큐멘터리
20170513,동네사람들,액션
20170513,동네사람들,스릴러
20170658,PMC: 더 벙커,액션
20170670,목격자,스릴러
20170942,인랑,SF
20170942,인랑,액션
20172204,명당,사극
20173734,죄 많은 소녀,드라마
20173734,죄 많은 소녀,미스터리
20174169,기묘한 가족,코미디
20174169,기묘한 가족,가족
20174981,창궐,사극
20174981,창궐,액션
20175407,우상,스릴러
20175547,스윙키즈,드라마
20175771,라이온 킹,어드벤처
20175771,라이온 킹,드라마
20175771,라이온 킹,가족
20176103,돈,범죄
20176122,안시성,사극
20176122,안시성,액션
20176251,내안의 그놈,판타지
20176251,내안의 그놈,코미디
20176442,자전차왕 엄복동,드라마
20176814,신비한 동물들과 그린델왈드의 범죄,판타지
20177221,베놈,액션
20177221,베놈,SF
20177221,베놈,스릴러
20177282,리노,애니메이션
20177282,리노,어드벤처
20177282,리노,가족
20177308,협상,범죄
20177537,상류사회,드라마
20177538,완벽한 타인,드라마
20177538,완벽한 타인,코미디
20177539,사바하,미스터리
20177539,사바하,스릴러
20177552,국가부도의 날,드라마
20178825,모털 엔진,액션
20178825,모털 엔진,어드벤처
20178825,모털 엔진,SF
20179006,여곡성,공포(호러)
20179006,여곡성,미스터리
20179044,더 스퀘어,코미디
20179101,공작,드라마
20179189,암수살인,범죄
20179189,암수살인,드라마
20179230,도어락,스릴러
20179230,도어락,드라마
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,애니메이션
20180290,아쿠아맨,액션
20180367,인디애니페스트 2018 새벽비행 2,애니메이션
20180442,사자,미스터리
20180442,사자,액션
20180442,사자,판타지
20180442,사자,공포(호러)
20180522,앤트맨과 와스프,액션
20180522,앤트맨과 와스프,어드벤처
20180522,앤트맨과 와스프,SF
20180523,스타 이즈 본,드라마
20180523,스타 이즈 본,멜로/로맨스
20180610,FIWOM 2018 웃어봐+수잔과 남자+내일, 또 내일, 그리고 또 내일+여자1 여자2 여자3+루비 파샤의 전설,드라마
20180624,킨: 더 비기닝,미스터리
20180624,킨: 더 비기닝,액션
20180628,액슬,액션
20180628,액슬,어드벤처
20180770,다이노 어드벤처2: 육해공 공룡 대백과,애니메이션
20180770,다이노 어드벤처2: 육해공 공룡 대백과,액션
20180770,다이노 어드벤처2: 육해공 공룡 대백과,가족
20180825,미성년,드라마
20180868,뺑반,범죄
20180868,뺑반,액션
20180931,극장판 가면라이더 이그제이드: 트루 엔딩,액션
20180931,극장판 가면라이더 이그제이드: 트루 엔딩,애니메이션
20180937,더 페이버릿: 여왕의 여자,드라마
20180987,할로윈,공포(호러)
20181171,바울,드라마
20181181,미션 임파서블: 폴아웃,액션
20181181,미션 임파서블: 폴아웃,스릴러
20181262,노크: 초대받지 않은 손님,공포(호러)
20181262,노크: 초대받지 않은 손님,스릴러
20181367,캡틴 스터비,애니메이션
20181367,캡틴 스터비,어드벤처
20181367,캡틴 스터비,가족
20181367,캡틴 스터비,전쟁
20181404,벽 속에 숨은 마법시계,판타지
20181404,벽 속에 숨은 마법시계,공포(호러)
20181404,벽 속에 숨은 마법시계,미스터리
20181404,벽 속에 숨은 마법시계,SF
20181404,벽 속에 숨은 마법시계,스릴러
20181669,윌리,애니메이션
20181669,윌리,어드벤처
20181669,윌리,코미디
20181764,모어 댄 블루,멜로/로맨스
20181764,모어 댄 블루,드라마
20181877,캡틴 마블,액션
20181877,캡틴 마블,어드벤처
20181877,캡틴 마블,SF
20181879,나츠메 우인장: 세상과 연을 맺다,애니메이션
20181905,후드,어드벤처
20181942,맘마미아!2,뮤지컬
20182044,구스 베이비,애니메이션
20182044,구스 베이비,어드벤처
20182044,구스 베이비,코미디
20182082,부탁 하나만 들어줘,스릴러
20182082,부탁 하나만 들어줘,미스터리
20182387,엑스맨: 다크 피닉스,액션
20182387,엑스맨: 다크 피닉스,어드벤처
20182387,엑스맨: 다크 피닉스,SF
20182403,크레이지 리치 아시안,멜로/로맨스
20182403,크레이지 리치 아시안,코미디
20182421,그린치,애니메이션
20182421,그린치,코미디
20182490,나랏말싸미,사극
20182501,왓칭,공포(호러)
20182501,왓칭,스릴러
20182530,극한직업,코미디
20182544,글래스,드라마
20182544,글래스,미스터리
20182544,글래스,SF
20182544,글래스,스릴러
20182585,비스트,범죄
20182585,비스트,스릴러
20182588,미래의 미라이,애니메이션
20182669,툴리,드라마
20182693,구스범스: 몬스터의 역습,판타지
20182693,구스범스: 몬스터의 역습,어드벤처
20182748,알리바이 닷 컴,코미디
20182748,알리바이 닷 컴,멜로/로맨스
20182935,출국,드라마
20182966,투 프렌즈,애니메이션
20182966,투 프렌즈,어드벤처
20183007,거미줄에 걸린 소녀,액션
20183007,거미줄에 걸린 소녀,스릴러
20183007,거미줄에 걸린 소녀,범죄
20183009,로빈슨의 언더워터 어드벤처,애니메이션
20183009,로빈슨의 언더워터 어드벤처,판타지
20183009,로빈슨의 언더워터 어드벤처,어드벤처
20183043,캡틴 샤키,애니메이션
20183043,캡틴 샤키,액션
20183043,캡틴 샤키,어드벤처
20183050,번 더 스테이지: 더 무비,기타
20183063,박물관이 진짜 살아있다,애니메이션
20183063,박물관이 진짜 살아있다,어드벤처
20183063,박물관이 진짜 살아있다,코미디
20183073,베일리 어게인,어드벤처
20183073,베일리 어게인,드라마
20183073,베일리 어게인,코미디
20183085,질투의 역사,멜로/로맨스
20183085,질투의 역사,드라마
20183096,생일,드라마
20183238,스파이더맨: 뉴 유니버스,애니메이션
20183238,스파이더맨: 뉴 유니버스,액션
20183238,스파이더맨: 뉴 유니버스,가족
20183288,헌터 킬러,액션
20183288,헌터 킬러,스릴러
20183361,인크레더블 2,애니메이션
20183361,인크레더블 2,액션
20183361,인크레더블 2,어드벤처
20183361,인크레더블 2,코미디
20183361,인크레더블 2,가족
20183375,극장판 포켓몬스터 모두의 이야기,애니메이션
20183454,요로나의 저주,공포(호러)
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,애니메이션
20183584,메가로돈,액션
20183584,메가로돈,공포(호러)
20183584,메가로돈,SF
20183650,번개맨의 비밀,가족
20183650,번개맨의 비밀,뮤지컬
20183685,엘리엇과 산타 썰매단,애니메이션
20183685,엘리엇과 산타 썰매단,가족
20183745,런닝맨 : 풀룰루의 역습,애니메이션
20183773,장난스런 키스,멜로/로맨스
20183782,기생충,드라마
20183785,점박이 한반도의 공룡2 : 새로운 낙원,애니메이션
20183844,마이펫의 이중생활 2,애니메이션
20183844,마이펫의 이중생활 2,어드벤처
20183844,마이펫의 이중생활 2,코미디
20183867,알라딘,어드벤처
20183867,알라딘,가족
20183867,알라딘,판타지
20183915,극장판 공룡메카드: 타이니소어의 섬,애니메이션
20184047,토이 스토리 4,애니메이션
20184047,토이 스토리 4,어드벤처
20184047,토이 스토리 4,코미디
20184082,걸캅스,코미디
20184082,걸캅스,액션
20184105,말모이,드라마
20184187,언니,액션
20184274,사랑은 비가 갠 뒤처럼,드라마
20184462,봉오동 전투,사극
20184462,봉오동 전투,액션
20184462,봉오동 전투,드라마
20184481,성난황소,범죄
20184481,성난황소,액션
20184514,꼬마비행기 피티와 친구들:사막구출 대작전,애니메이션
20184529,트와이스랜드,다큐멘터리
20184574,그린 북,드라마
20184621,엑시트,코미디
20184621,엑시트,액션
20184678,배반의 장미,코미디
20184802,몬스터 호텔 3,애니메이션
